Parti;Courant politique;Arrêter l'accroissement de la pression fiscale.;LDB
LCR;GR;;1
LCR;GR;"Ceux de gauche. Pendant douze ans, Mitterrand a trahi un à un tous ses engage- ments et, au nom de la gauche, a été toujours plus dur pour les salariés, toujours soumis aux intérêts des profiteurs. Le Parti socialiste a été
l'instrument de cette politique. Pendant plu- sieurs années, le Parti communiste a participé au gouvernement, puis il a mêlé un discours com- batif auprès des travailleurs ... et une complai- sance envers le gouvernement en refusant, à plusieurs reprises, de le censurer.";1
LCR;GR;Ils nous bourrent tous le crâne avec la compétitivité et la crise mais, en fait, la réalité est qu'ils dirigent la société pour réaliser le maxi- mum de profits et non pour satisfaire les besoins sociaux, les besoins de la majorité de la popula- tion en ce qui concerne l'emploi, la santé, le logement.;1
LCR;GR;Les fermetures d'Hoover et de Bendix nous montrent que les patrons agissent comme des bandits, en toute impunité, et avec le plus grand mépris pour les salariés.;0
LCR;GR;"CE QUE LES POLITICIENS NE DISENT PAS ...
La société doit être gérée pour le profit de tous et non pour l'intérêt de quelques profi- teurs. Aujourd'hui, les politiques de droite com- me de « gauche » nous écrasent. Le Front natio- nal et Le Pen proposent de nous écraser davantage avec un régime totalitaire qui nous imposerait de nouveaux reculs sociaux.";1
LCR;GR;En France et dans le monde, les équilibres sociaux comme l'environnement sont détruits par la loi du profit maximum et immédiat.;1
LCR;GR;"C'est pourquoi, travailleurs du transport aérien, nous sommes contre l'extension sauvage de la plate-
forme de Roissy, pour le maintien des structures et emplois sur Orly et Roissy et un développe- ment à taille humaine et supportable.";0
LCR;GR;Les écologistes, qui dénoncent ces destruc- tions, sont prêts à s'allier avec le PS ou la droite, sans rien changer à nos conditions de vie, sans proposer un autre projet de société.;1
LCR;GR;Dans le transport aérien, où nous travaillons, des milliers de suppressions d'emploi sont pré- vues, des démantèlements d'entreprise pour cas- ser les acquis sociaux.;0
LCR;GR;Nous, avec la LCR, voulons construire une for- ce nouvelle, qui soit vraiment au service des salariés, des chômeurs, des exploités. Une force qui rassemble ceux qui, tous les jours, combat- tent l'inégalité et l'injustice dans les entreprises et les quartiers, ceux qui ont toujours la volonté de transformer la société. Beaucoup y sont prêts parmi ceux qui, à gauche, faisaient confiance au Parti socialiste ou au Parti communiste et, au- delà, parmi tous ceux qui ne veulent plus subir. Nous sommes prêts à agir pour rassembler toutes celles et tous ceux qui veulent changer à gauche, vraiment à gauche.;1
